套料图名,分段号,切割机,切割序号,切割开始(min),切割完成(min),切割工时(min),原料吊运开始(min),原料空驶完成(min),原料吊运完成(min),原料吊运返回完成(min),工位开始(min),等待结束(min),工位处理时间(min),工位完工(min),工位,最低优先级
T63S-4102,STA238FC,N5,73,2732.1865086206185,2768.1996638428122,36.01315522219383,2716.186668409153,2719.186668409153,2722.186668409153,2722.186668409153,2722.186668409153,2732.1865086206185,10.56137866666677,2778.761042509479,1,1
T63S-4099,STA238FC,N2,74,2468.17204803095,2504.6176975870617,36.445649556111796,2462.17204803095,2465.17204803095,2468.17204803095,2468.17204803095,2468.17204803095,2468.17204803095,22.439078107867772,2527.0567756949295,1,1
T63S-4098,STA238FC,N2,75,2504.6176975870617,2541.0713145734103,36.453616986348536,2468.17204803095,2476.17204803095,2479.17204803095,2479.17204803095,2479.17204803095,2504.6176975870617,6.026775487179293,2547.0980900605896,0,1
T63S-4100,STA238FC,N2,76,2541.0713145734103,2590.086540289387,49.01522571597648,2527.0567756949295,2535.0567756949295,2538.0567756949295,2538.0567756949295,2538.0567756949295,2541.0713145734103,165.38601730159098,2755.472557590978,1,1
T63S-4103,STA238FC,N2,77,2590.086540289387,2641.3784678517204,51.29192756233346,2547.0980900605896,2555.0980900605896,2558.0980900605896,2558.0980900605896,2558.0980900605896,2590.086540289387,130.78446021544778,2772.162928067168,0,1
T63S-4088,STA238FC,N5,78,2789.761042509479,2804.314460245407,14.553417735928244,2778.761042509479,2786.761042509479,2789.761042509479,2789.761042509479,2789.761042509479,2789.761042509479,26.19294821648191,2830.507408461889,1,2
T63S-4093,STA238FC,N2,79,2755.472557590978,2802.7591583836456,47.2866007926677,2749.472557590978,2752.472557590978,2755.472557590978,2755.472557590978,2755.472557590978,2755.472557590978,10.830796307692253,2813.589954691338,1,1
T63S-4094,STA238FC,N2,80,2802.7591583836456,2847.0622894634066,44.30313107976093,2766.162928067168,2769.162928067168,2772.162928067168,2772.162928067168,2772.162928067168,2802.7591583836456,11.222596512820473,2858.284885976227,0,1
T63S-4095,STA238FC,N2,81,2847.0622894634066,2887.3212573213964,40.25896785798957,2813.589954691338,2821.589954691338,2824.589954691338,2824.589954691338,2824.589954691338,2847.0622894634066,102.16076714285782,2989.482024464254,1,3
T63S-4096,STA238FC,N2,82,2887.3212573213964,2924.542424209178,37.22116688778165,2858.284885976227,2866.284885976227,2869.284885976227,2869.284885976227,2869.284885976227,2887.3212573213964,87.99786827094931,3012.5402924801274,0,2
T63S-4097,STA238FC,N5,83,2830.589954691338,2853.993691814573,23.40373712323541,2824.589954691338,2827.589954691338,2830.589954691338,2830.589954691338,2830.589954691338,2830.589954691338,44.03336690476226,2898.0270587193354,0,1
U02S-1347,DC12,N5,84,2853.993691814573,2867.7456179513324,13.75192613675911,2830.589954691338,2833.589954691338,2836.589954691338,2836.589954691338,2836.589954691338,2853.993691814573,68.26675802990667,2936.012375981239,1,1
