零件名,套料图名,分段号,齐套优先级,零件类型,释放(min),到半框缓存(min),到齐套区(min)
N1-F25-1P-1P,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F25-2P-1P,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F25-3S-1S,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F25-4S-1S,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F26-1P-1P,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F26-2P-1P,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F26-3S-1S,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F26-4S-1S,E01S-1221,BN1,2,small,1875.598538399213,1878.348538399213,2710.311668409153
N1-F31-1P-1P,E01S-1215,BN1,6,small,1884.1195759106376,2660.3418117424862,2735.811668409153
N1-ST-4-2S,E01S-1215,BN1,9,small,1884.1195759106376,2309.670116621891,2754.936668409153
N1-F33-2-1P,E01S-1215,BN1,2,large,1884.1195759106376,1883.6503319204053,1883.6503319204053
N1-F29-5P-1P,E01S-1215,BN1,3,large,1884.1195759106376,1883.6503319204053,1883.6503319204053
N1-F17-1SP-1SP,E01S-1215,BN1,6,large,1884.1195759106376,1883.6503319204053,1883.6503319204053
N1-F29-4P-1P,E01S-1215,BN1,6,large,1884.1195759106376,1883.6503319204053,1883.6503319204053
N1-F33-2-1S,E01S-1215,BN1,7,large,1884.1195759106376,1883.6503319204053,1883.6503319204053
N1-F21-6P-1P,E01S-1215,BN1,8,large,1884.1195759106376,1883.6503319204053,1883.6503319204053
N1-F26-8S-1S,E01S-1215,BN1,8,large,1884.1195759106376,1883.6503319204053,1883.6503319204053
N1-LG2-5WS-1S,E01S-1215,BN1,8,large,1884.1195759106376,1883.6503319204053,1883.6503319204053
N1-LG32-2-1P,E01S-1225,BN1,3,small,1957.8125596058208,2220.2486313020495,2716.686668409153
N1-LG32-2-1S,E01S-1225,BN1,3,small,1957.8125596058208,2220.2486313020495,2716.686668409153
N1-BW-2-1P,E01S-1225,BN1,8,small,1957.8125596058208,2065.988708005938,2748.561668409153
N1-BW-2-1S,E01S-1225,BN1,8,small,1957.8125596058208,2065.988708005938,2748.561668409153
N1-BW-3-1P,E01S-1225,BN1,8,small,1957.8125596058208,2065.988708005938,2748.561668409153
N1-BW-3-1S,E01S-1225,BN1,8,small,1957.8125596058208,2065.988708005938,2748.561668409153
N1-F35-2-1P,E01S-1225,BN1,8,small,1957.8125596058208,2065.988708005938,2748.561668409153
N1-F35-2-1S,E01S-1225,BN1,8,small,1957.8125596058208,2065.988708005938,2748.561668409153
N1-F35-2-2P,E01S-1225,BN1,8,small,1957.8125596058208,2065.988708005938,2748.561668409153
N1-F35-2-2S,E01S-1225,BN1,8,small,1957.8125596058208,2065.988708005938,2748.561668409153
N1-AG-1P-1P,E01S-1233,BN1,3,large,1951.1285145505346,1951.1285145505346,1951.1285145505346
N1-AG-2S-1S,E01S-1233,BN1,3,large,1951.1285145505346,1951.1285145505346,1951.1285145505346
N1-F36-3-2BP,E01S-1231,BN1,3,small,2063.238708005938,2220.2486313020495,2716.686668409153
N1-F36-3-2BS,E01S-1231,BN1,3,small,2063.238708005938,2220.2486313020495,2716.686668409153
N1-F36-3B1-1P,E01S-1231,BN1,3,small,2063.238708005938,2220.2486313020495,2716.686668409153
N1-F36-3B1-1S,E01S-1231,BN1,3,small,2063.238708005938,2220.2486313020495,2716.686668409153
N1-F36-4B1W-1P,E01S-1231,BN1,6,small,2063.238708005938,2660.3418117424862,2735.811668409153
N1-F33-1SP-7BSP,E01S-1231,BN1,7,small,2063.238708005938,2706.186668409153,2742.186668409153
N1-F36-2S-1BS,E01S-1231,BN1,7,small,2063.238708005938,2706.186668409153,2742.186668409153
N1-F36-2S-4BS,E01S-1231,BN1,7,small,2063.238708005938,2706.186668409153,2742.186668409153
N1-F36-4B1W-1S,E01S-1231,BN1,7,small,2063.238708005938,2706.186668409153,2742.186668409153
N1-F33-1B1-1P,E01S-1231,BN1,8,small,2063.238708005938,2065.988708005938,2748.561668409153
N1-F33-1B1-1S,E01S-1231,BN1,8,small,2063.238708005938,2065.988708005938,2748.561668409153
